trial1,trial2,trial3
20,16.1,13.3
37.9,13.3,35.4
36.6,22.5,17.2
10,31,20
13.3,27.5,29
23.3,31,25.8
17.2,16.1,33.3
24.1,24.1,26.6
27.5,23.3,24.1
20,58.6,35.4
20,19.3,37.9
10,23.3,16.1
19.3,23.3,34.4
34.4,16.6,16.1
30,13.3,37.9
33.3,13.7,23.3
43.3,20.6,34.4
20,33.3,16.6
19.3,31,27.5
20,16.6,37.5
23.3,20,33.3
44.8,38.7,19.3
23.3,10.3,34.4
13.3,40,19.3
16.6,24.1,37.9
9.6,53.3,22.5
13.7,37.9,31
27.5,17.2,23.3
13.7,60,34.4
16.1,16.6,34.4
15.1,27.5,26.6
20,27.5,23.3
31,25.8,55.1
23.3,27.5,26.6
24.1,31,27.5
32.2,43.3,24.1
24.2,16.6,25.8
23.3,13.3,20
16.1,26.6,20
23.3,23.3,29
48.2,43.3,33.3
41.3,46.6,23.3
17.2,30,34.3
75.8,22.5,25.8
23.3,36.6,24.1
51.7,22.5,20.6
23.3,25.8,22.5
40,31,31
23.3,21.2,23.3
24.1,25.8,48.2
48.2,25.8,19.3
18.7,34.4,26.6
37.9,24.1,26.6
13.3,21.2,26.6
16.6,31,24.1
34.4,26.6,19.3
33.3,55.1,22.5
16.1,28.1,26.6
25.8,24.1,16.6
25.8,25,43.3
40,22.5,30
23.3,24.1,20
22.5,34.4,24.1
20.6,22.5,26.6
22.5,26.6,22.5
34.4,25.8,20.6
25.8,31,19.3
31,23.3,27.5
20,44.8,26.6
38.7,38.7,19.3
22.5,16.1,27.5
34.4,27.5,19.3
40,23.3,23.3
30,34.4,29
37.9,19.3,21.8
26.6,37.9,23.3
41.3,23.3,38.7
24.1,20,23.3
23.3,16.6,30
41.9,34.4,23.3
23.3,23.3,33.3
26.6,23.3,21.8
41.9,20,30
19.3,26.6,23.3
12.9,16.1,21.8
41.3,33.3,37.9
30,20,19.3
23.3,27.5,24.1
51.7,46.6,24.1
19.3,28.1,22.5
26.6,34.4,34.4
21.8,34.4,23.3
36.6,16.6,22.5
26.6,33.3,43.3
22.5,36.6,22.5
31,23.3,22.5
22.5,32.2,25
29,20,24.1
13.7,25.8,34.4
17.2,25.8,20
33.3,27.5,31
23.3,22.5,37.9
33.3,26.6,30
25.8,21.8,26.6
43.3,36.6,32.2
43.3,37.9,34.4
17.2,58,34.4
22.5,51.6,21.8
38.7,24.1,37.9
21.2,34.4,44.8
15.6,22.5,21.8
31,27.5,43.3
41.3,19.3,33.3
25,37.9,25.8
24.1,34.4,27.5
26.6,19.3,26.6
30,18.1,40
21.2,27.5,16.6
30,16.6,21.8
21.2,41.3,19.3
30,25.8,
16.1,34.4,
18.1,22.5,
30,37.9,
43.3,19.3,
20,24.1,
31,,
16.1,,
13.3,,
26.6,,
48.2,,
23.3,,
20,,
23.3,,
29,,
20,,
26.6,,
44.8,,
25.8,,
37.9,,
16.1,,
