Honest-Barcode-Text-Handheld-NonHeadless-CPU,Honest-Barcode-Text-Handheld-NonHeadless-MEM,Mal-Barcode-Text-Handheld-NonHeadless-CPU,Mal-Barcode-Text-Handheld-NonHeadless-MEM,Honest-Barcode-Text-Headless-CPU,Honest-Barcode-Text-Headless-MEM,Mal-Barcode-Text-Headless-CPU,Mal-Barcode-Text-Headless-MEM,Honest-Barcode-Text-Handheld-Headless-CPU,Honest-Barcode-Text-Handheld-Headless-MEM,Mal-Barcode-Text-Handheld-Headless-CPU,Mal-Barcode-Text-Handheld-Headless-MEM
128,1.4,188,1.4,29,1.8,253,7.6,34.4,1.8,240,5.8
116,1.4,228,1.5,20.6,1.6,316,7,41.3,1.6,190,5.3
116,1.4,220,1.4,23.3,1.5,296,7.7,17.2,1.9,184,5.8
116,1.4,200,1.4,34.4,1.8,314,8.2,31,1.7,190,6.2
112,1.4,196,1.4,17.2,1.7,290,7.6,20.6,1.6,209,6.1
128,1.9,192,1.4,18.7,1.6,271,8.6,22.5,1.9,244,6.1
108,1.6,196,1.4,17.2,1.9,293,8.2,17.2,1.7,210,6
124,1.7,196,1.4,34.4,1.8,325,9.4,26.6,2,246,5.8
116,1.5,240,1.4,13.7,1.6,137,8.7,41.3,1.8,196,5.8
116,1.4,208,1.4,17.2,1.5,283,9.1,23.3,1.6,203,6
112,1.4,200,1.4,34.4,1.8,277,9.9,10.3,1.9,206,6.3
112,1.4,188,1.4,25.8,1.7,297,9.5,28.1,1.8,266,6.2
116,1.4,208,1.4,30,1.6,306,9.4,50,2,258,6.1
116,1.4,236,1.4,36.6,1.9,305,10.1,13.3,1.9,270,6.1
116,1.4,216,1.4,32.2,1.8,240,10.6,17.2,1.6,270,5.7
116,1.4,232,1.4,29,1.7,293,10.6,16.6,1.9,261,5.6
112,1.4,196,1.4,20.6,1.7,306,11,36.6,1.8,279,5.8
108,1.4,184,1.4,48.2,1.8,313,10.3,13.7,1.7,280,6
124,1.4,248,1.7,37.9,1.7,303,11.5,33.3,1.9,296,5.7
120,1.4,188,1.4,15.1,1.5,289,10.9,13.7,1.8,241,5.8
112,1.4,248,1.4,16.6,1.8,347,11,31,1.7,283,5.4
116,1.4,248,1.4,20,1.7,330,11.7,46.6,2,310,5.3
124,1.4,252,1.4,36.6,1.6,303,12.2,24.1,1.8,313,5.5
120,1.4,228,1.4,45.1,1.9,328,12.6,37.9,1.6,231,5.3
128,1.4,240,1.4,34.4,1.7,286,12,10.3,1.9,246,5
128,1.4,228,1.4,31,1.6,305,12.9,41.3,1.7,262,5.4
124,1.4,256,1.4,,,306,12.6,,,275,5.6
124,1.8,240,1.4,,,,,,,213,5.3
124,1.5,220,1.7,,,,,,,268,5.3
120,1.4,228,1.6,,,,,,,253,5.3
124,1.4,228,1.4,,,,,,,,
128,1.4,240,1.8,,,,,,,,
124,1.4,232,1.7,,,,,,,,
124,1.4,244,1.8,,,,,,,,
120,1.4,228,1.9,,,,,,,,
120,1.4,204,1.8,,,,,,,,
116,1.6,192,1.8,,,,,,,,
112,1.5,188,1.8,,,,,,,,
120,1.4,188,1.8,,,,,,,,
116,1.4,236,1.9,,,,,,,,
124,1.4,204,1.8,,,,,,,,
120,1.4,192,1.7,,,,,,,,
112,1.4,196,1.8,,,,,,,,
112,1.5,240,1.8,,,,,,,,
112,1.4,200,1.6,,,,,,,,
112,1.4,180,1.8,,,,,,,,
112,1.4,208,1.6,,,,,,,,
116,1.6,232,1.9,,,,,,,,
112,1.4,184,1.7,,,,,,,,
128,1.4,196,1.8,,,,,,,,
120,1.4,272,1.7,,,,,,,,
104,1.4,300,1.4,,,,,,,,
128,1.4,220,1.6,,,,,,,,
124,1.4,340,1.4,,,,,,,,
136,1.4,244,1.4,,,,,,,,
128,1.4,356,1.4,,,,,,,,
136,1.4,208,1.5,,,,,,,,
124,1.4,296,1.6,,,,,,,,
124,1.4,260,1.4,,,,,,,,
