barcode_cpu_trial1,barcode_mem_trial1,barcode_cpu_trial2,barcode_mem_trial2,barcode_cpu_trial3,barcode_mem_trial3,barcode_cpu_trial4,barcode_mem_trial4,barcode_cpu_trial5,barcode_mem_trial5,barcode_cpu_trial6,barcode_mem_trial6,barcode_cpu_trial7,barcode_mem_trial7,barcodeText_cpu_trial1,barcodeText_mem_trial1,barcodeText_cpu_trial2,barcodeText_mem_trial2,barcodeText_cpu_trial3,barcodeText_mem_trial3,barcodeText_cpu_trial4,barcodeText_mem_trial4,barcode_cpu_phone1,barcode_mem_phone1,barcodeText_cpu_phone1,barcodeText_mem_phone1
70,3,,,56.2,3,54.8,3.4,96.8,3,84,6.7,80,6.6,58,49.9,,,254,52.5,183,48.2,51.7,1.9,196,4.2
78.1,3.6,,,100,3.3,100,3.4,109,3.5,84,6.5,65.3,6,277,50,,,290,52.4,193,48.4,46.6,1.9,174,4
116,3.7,,,58,3.4,56.2,2.5,73.3,3.4,70.3,6.5,73,6.2,287,50.6,,,317,52.4,163,48,33.3,1.9,168,4.4
90.9,3,,,93.7,3.4,96.8,3.3,103,3,76.9,6.4,76.9,6.3,256,50,,,208,51.1,213,47.7,41.9,1.9,206,4.4
61.2,2.9,,,63.3,2.5,58,3,86.6,3.2,84.6,6.7,81.4,6.5,281,49.2,,,300,48.5,70.9,47.8,41.3,2,183,4.1
96.7,3,,,100,2.8,96.7,3,87,3,92,6.6,66.6,6.2,328,50.5,,,280,48.1,260,47.6,66.6,2,196,4.4
81.8,3.3,,,100,3.4,93.7,2.6,93.9,2.5,84,6,80.7,6.5,329,49.8,,,281,47.9,230,47.3,55.1,2,200,4.5
106,3.4,,,51.6,3,43.7,2.8,43.7,2.7,84,6.4,73,6.2,245,49.7,,,203,47.7,246,46.7,53.3,2,179,4.9
80,3,,,106,3.7,87,3,96.8,3.3,72,6,84.6,6.5,300,50,,,211,48.3,163,47.3,33.3,1.6,167,6.4
96.8,3,,,54.8,2.7,66.6,3.3,50,2.9,84,6.2,92.3,6.7,217,50.4,,,312,47.7,300,47.8,37.9,1.6,241,6.3
56.6,3.2,,,93.7,2.5,100,2.6,100,3.5,74,6.2,84.6,6.1,246,49.6,,,306,47.5,281,47.4,48.2,1.7,196,5.6
93.3,3,,,103,3.2,96.7,2.8,103,3.4,88.4,6.6,80.7,6,245,50.3,,,290,47.4,159,48.3,33.3,1.7,213,5.4
