trial1,trial2,trial3
46.6,45.1,29
73.3,51.7,41.3
65.5,75.8,48.2
66.6,53.3,51.7
37.9,63.3,36.6
48.2,43.3,45.1
41.3,44.8,46.6
29,48.3,68.9
36.6,19.3,51.6
41.9,45.1,55.1
30,51.6,75.8
35.4,46.6,48.2
51.6,41.9,79.3
51.7,51.7,70
45.1,68.7,56.6
48.3,46.6,65.5
62,48.2,38.7
60,26.6,40
30,37.9,31
51.7,44.8,32.2
37.9,32.2,45.1
33.3,34.4,53.3
25.8,36.6,73.3
40.6,34.4,29
41.9,56.6,41.9
63.3,36.6,43.3
51.7,43.3,56.6
72.4,48.2,51.7
53.3,38.7,37.9
25,48.2,29
38.7,34.4,38.7
56.6,16.6,43.7
60,35.4,36.6
41.9,34.4,53.1
37.9,53.3,70
36.6,48.2,51.6
48.3,35.4,55.1
33.3,40,36.6
41.3,54.8,33.3
25.8,45.1,29
65.5,46.6,48.2
40,48.2,23.3
30,53.3,33.3
63.3,38.7,23.3
53.3,41.9,30
31,37.9,34.3
30,46.6,43.7
37.9,63.3,46.6
38.7,56.6,43.7
60,43.3,43.3
66.6,45.1,53.1
70,37.9,63.3
51.7,44.8,73.3
37.9,67.7,55.1
30,40,30
60,48.3,50
27.5,41.3,28.1
41.3,32.2,56.2
46.6,54.8,41.9
62,44.8,41.3
53.3,51.6,41.9
20,51.6,51.7
56.6,58.6,56.6
37.9,65.5,58.6
33.3,62,54.8
65.5,60,53.3
63.3,51.6,29
48.2,63.3,30
38.7,56.6,48.2
31,41.9,41.9
46.6,31,45.1
73.3,38.7,63.3
32.2,41.3,51.6
64.5,60,51.7
37.9,41.3,41.9
48.2,36.6,44.8
46.6,46.6,34.4
63.3,36.6,77.4
48.3,60,41.3
48.2,40,53.3
48.3,55.1,38.7
48.3,53.3,35.4
76.6,56.6,55.1
29,65.5,41.9
29,38.7,66.6
34.4,41.3,51.6
25,31,46.6
46.6,40,73.3
60,37.9,50
64.5,60,75.8
55.1,26.6,41.9
41.9,32.2,55.1
34.4,36.6,35.4
26.6,41.9,67.7
30,65.5,56.6
36.6,45.1,30
17.2,82.7,46.6
32.2,40,36.6
40,51.6,51.7
35.4,61.2,51.7
36.6,31.2,31
45.1,32.2,50
65.5,40,36.6
50,26.6,20.6
37.9,46.8,41.9
44.8,44.8,46.8
32.2,43.3,46.6
54.8,53.3,46.6
44.8,53.3,54.8
51.7,54.8,46.6
36.6,41.9,48.2
54.8,55.1,25.8
41.3,43.3,40
35.4,36.6,44.8
53.3,41.9,35.4
74.1,41.3,48.2
56.2,30,56.6
41.9,43.3,56.6
63.3,55.1,70
45.1,51.7,46.6
20.6,40,40
24.1,46.6,26.6
51.6,51.7,38.7
45.1,58,43.3
53.3,46.6,58
54.8,51.7,72.7
38.7,68.9,60.6
30,29,77.4
58.6,24.1,40
54.8,30,37.9
48.3,44.8,40
50,29,18.7
43.3,24.1,27.5
48.3,20,26.6
32.2,20,33.3
44.8,25.8,25.8
40,30,36.6
33.3,37.9,23.3
63.3,34.4,33.3
56.6,23.3,50
51.7,37.9,44.8
51.7,22.5,65.5
58,53.3,62
33.3,25.8,68.9
35.4,31.2,53.3
40,41.3,69.6
32.2,41.3,50
43.3,35.4,62
45.1,58.6,75.8
38.7,75.8,53.3
35.4,41.9,77.4
45.1,48.2,54.8
46.6,55.1,53.1
38.7,40,43.3
37.9,60,58
60,41.9,50
40,34.3,51.6
44.8,43.3,68.9
40,35.4,45.1
40.6,41.3,40
40,29,26.6
50,68.9,23.3
56.6,25.8,46.6
41.3,44.8,40
58.6,35.4,70
48.2,43.3,55.1
46.6,50,56.6
48.2,50,38.7
48.3,51.7,62
50,48.2,43.3
48.2,48.3,43.3
50,82.7,50
51.7,56.6,28.1
48.2,45.1,35.4
32.2,65.5,55.1
35.4,53.3,48.2
50,60,46.6
58.6,32.2,36.6
56.6,68.9,55.1
46.6,51.7,33.3
34.3,58.6,50
20.6,37.9,25.8
43.7,34.4,25.8
35.4,41.3,58
58.6,27.5,55.1
43.3,31,68.9
53.3,44.8,44.8
29,48.2,40
40,23.3,45.1
62,44.8,54.8
40,60,32.2
54.8,51.7,50
38.7,73.3,26.6
37.9,51.7,62
56.6,51.7,66.6
68.9,35.4,63.3
26.6,60,48.2
37.9,63.3,43.3
30,51.7,36.6
30,68.9,43.3
54.8,30,50
38.7,37.9,56.6
53.3,40,43.3
65.5,36.6,36.6
55.1,26.6,31
55.1,50,32.2
26.6,43.3,33.3
34.4,35.4,75.8
48.2,35.4,41.9
46.6,22.5,66.6
51.6,41.3,32.2
62,35.4,48.3
70.9,38.7,59.3
30,50,56.6
40,44.8,58.6
36.6,38.7,20
31,38.7,51.7
33.3,24.1,26.6
43.3,37.9,55.1
33.3,45.1,46.6
55.1,64.5,53.3
55.1,50,41.3
53.3,61.2,56.6
48.2,40,75.8
36.6,60,60
43.3,37.5,66.6
54.8,51.6,48.3
56.6,46.6,48.2
36.6,34.4,72.4
38.7,48.2,45.1
60,40,48.2
60,48.3,54.8
43.3,56.6,73.3
56.6,36.6,50
62,58,36.6
33.3,41.9,80
55.1,43.3,65.5
32.2,37.9,62
26.6,38.7,55.1
46.6,50,73.3
58,60,70.9
36.6,50,55.1
56.6,56.6,55.1
38.7,62,74.1
63.3,40,50
45.1,29,65.5
50,72.4,90.3
50,38.7,43.3
82.7,45.1,25.8
55.1,37.5,54.8
37.9,36.6,58
44.8,51.7,48.3
28.1,40,54.8
35.4,51.6,53.3
41.9,43.3,33.3
38.7,64.5,38.7
55.1,36.6,63.3
60,41.3,62
38.7,46.8,50
27.5,38.7,20.6
35.4,53.3,41.3
46.6,33.3,40
33.3,46.6,46.8
46.6,50,45.1
43.3,45.1,41.9
76.6,58.6,43.3
51.6,46.6,48.2
72.4,70,44.8
65.5,57.5,50
60,54.8,34.3
40,51.6,51.6
45.1,30,56.6
44.8,66.6,56.6
41.3,30,38.7
66.6,43.3,35.4
75.8,41.3,29
43.3,51.7,53.3
46.6,51.6,56.6
46.6,48.3,43.3
33.3,48.3,55.1
53.1,38.7,55.1
43.7,51.7,46.6
70,53.3,36.6
58,80.6,53.3
76.6,82.7,33.3
60,61.2,63.3
34.4,41.3,56.6
44.8,32.2,58.6
43.3,40,54.8
43.3,45.1,44.8
51.7,25.8,58.6
58,41.3,68.9
37.9,30,60
72.4,50,60
25,43.7,56.6
58,30,65.5
41.9,35.4,58.6
53.3,30,41.3
32.2,41.3,41.9
50,36.6,38.7
50,43.3,35.4
50,35.4,38.7
35.4,51.7,56.6
35.4,28.1,48.3
51.7,30,58.6
46.6,51.7,61.2
26.6,55.1,46.6
40.6,32.2,50
38.7,65.5,33.3
48.2,41.3,50
50,62,26.6
40,66.6,79.3
51.7,41.9,54.8
58.6,36.6,70
45.1,43.3,56.6
62,51.7,70
36.6,36.6,45.1
43.3,51.6,53.3
41.9,37.9,62
34.4,20,58.6
60,33.3,80.6
65.5,46.6,68.9
36.6,54.8,58
16.6,37.9,36.6
26.6,44.8,41.9
24.1,36.6,32.2
31,33.3,55.1
48.3,32.2,46.6
48.2,23.3,58.6
41.9,25.8,70.9
37.5,38.7,43.3
41.3,44.8,48.3
56.6,31,48.3
55.1,75.8,65.5
53.3,62,66.6
65.5,45.1,58.6
36.6,56.2,40
48.2,51.5,36.6
51.6,41.9,35.4
35.4,55.1,17.2
79.3,58.6,55.1
65.5,34.4,50
64.5,36.6,41.3
38.7,50,34.4
44.8,38.7,48.2
34.4,60,56.6
33.3,44.8,36.6
41.3,58.6,40
